Customer_Name,Account_Number,Account_Type,Branch_Location,Transaction_Type,Transaction_Amount,Transaction_Date,Loan_Applications,Loan_Amount,Loan_Status,Credit_Score,Aggregated_Credit_Risk_Score,Account_Balance,Email,Phone_Number
Katherine Valdez,816508938653,Fixed Deposit,Makkah,Withdrawal,5427.61,2025-08-04,0,0.0,,391,0.12,29657.97,destiny03@example.org,(699)822-8415x943
Anthony Hill,196640325662,Current,Dammam,Deposit,8350.3,2025-04-01,3,35745.06,Rejected,705,0.12,47387.87,foxluis@example.com,001-202-643-6501
Derrick Garcia,460813267590,Fixed Deposit,Makkah,Transfer,4840.06,2024-08-12,0,0.0,,650,0.26,65662.04,jacobgarcia@example.net,511-211-9547x418
Sarah Jenkins,520784337352,Fixed Deposit,Dammam,Deposit,1972.73,2025-04-11,2,2783.19,Approved,345,0.95,4660.54,strujillo@example.net,+1-531-311-4129
Darrell Harris,802417753307,Fixed Deposit,Makkah,Deposit,9961.48,2025-03-21,3,16300.42,Approved,596,0.39,72379.37,jennifernorton@example.org,(398)507-9417
Justin Welch,958432153529,Business,Riyadh,Transfer,9921.66,2025-02-05,1,6428.53,Pending,491,0.66,73698.54,briannapalmer@example.org,359.479.8959
Nicholas Wright,288973020103,Business,Jeddah,Transfer,8034.33,2024-12-06,1,40100.07,Pending,581,0.49,46277.99,znichols@example.com,(226)634-8278x4812
Alexander Patel,298066007246,Fixed Deposit,Makkah,Deposit,7653.08,2025-04-28,1,43429.33,Pending,401,0.56,20998.24,barbersusan@example.com,9932702076
Amanda Mills,694769984716,Fixed Deposit,Riyadh,Bill Payment,5878.7,2024-10-28,0,0.0,,644,0.04,9557.36,robertanderson@example.com,001-663-693-1178x7499
Sarah Campbell,923149000692,Savings,Riyadh,Withdrawal,8706.78,2024-10-09,0,0.0,,682,0.51,32708.47,danielle44@example.net,894.414.0031
Jessica Prince,460242054657,Business,Jeddah,Withdrawal,6716.6,2025-06-03,1,17357.37,Approved,730,0.06,98375.0,tiffanycollier@example.com,401.274.2786x3695
Rodney Sanchez,925958084681,Business,Dammam,Bill Payment,5385.04,2025-01-17,0,0.0,,731,0.03,16224.41,michaelwilliams@example.com,665-639-8532
Jennifer Marshall,973412799085,Current,Riyadh,Deposit,2687.89,2024-10-24,3,3685.6,Pending,767,0.35,40834.86,oelliott@example.org,4815082305
Brad Mills,798726314133,Savings,Makkah,Withdrawal,4827.53,2025-04-09,2,3261.76,Pending,639,0.47,7113.08,arthur26@example.net,513-783-8249
Jason Robinson,835847183257,Current,Dammam,Bill Payment,6669.36,2025-07-08,3,20771.82,Pending,592,0.37,24012.13,danielsnicole@example.net,675.430.9060
Todd Johnson,436919055983,Savings,Jeddah,Bill Payment,6047.54,2025-07-01,2,13223.67,Pending,342,0.49,5627.18,iramirez@example.com,653-484-6073x89734
Angela Eaton,858286391821,Savings,Dammam,Loan Payment,1967.74,2025-01-18,3,8513.34,Pending,441,0.7,71598.98,nperez@example.org,402-637-7038x798
Christine Martinez,182549042540,Current,Dammam,Deposit,8403.99,2025-06-27,0,0.0,,612,0.43,65369.2,fgreen@example.net,+1-990-319-7530x10642
Dr. Jessica Douglas,154635305905,Current,Riyadh,Deposit,1074.37,2025-06-25,1,35669.35,Rejected,436,0.95,44490.88,walkerevelyn@example.org,001-994-401-3028x9676
Benjamin Roberts MD,714773627641,Fixed Deposit,Riyadh,Withdrawal,5496.0,2024-12-08,1,16211.28,Pending,754,0.95,66528.27,jonesbrandon@example.net,679.591.2293x935
Stephanie Parks,985285969064,Savings,Riyadh,Loan Payment,5698.28,2025-05-02,1,26612.29,Pending,705,0.67,96702.45,edward57@example.net,(974)908-6058
Richard Lambert,313496805673,Fixed Deposit,Dammam,Withdrawal,2512.57,2024-12-20,2,19437.24,Pending,382,0.69,36632.18,lisa00@example.net,888.294.5803x4877
Monique Johnson,244914861718,Savings,Jeddah,Withdrawal,7204.54,2025-02-26,2,29807.12,Approved,464,0.84,20402.83,cgrant@example.com,920-600-3801x15762
Scott Carter,460169343194,Current,Jeddah,Deposit,3476.02,2025-02-10,2,49478.97,Rejected,408,0.79,22685.8,tbautista@example.com,754.278.1399x7327
John Jackson,459231778772,Fixed Deposit,Madinah,Bill Payment,3608.78,2024-10-07,2,12645.69,Pending,668,0.55,54626.23,acostarobert@example.net,(451)973-3536x01827
Michael Gordon,211203630204,Current,Riyadh,Withdrawal,2506.56,2025-04-30,1,2311.04,Pending,345,0.78,15321.48,osmith@example.net,001-698-829-9053x5893
Kaitlin Thompson,834205409295,Current,Riyadh,Transfer,9630.24,2024-09-19,2,44813.25,Approved,775,0.51,42860.73,gregory34@example.org,001-230-914-9517x942
Daniel Ross,157594877161,Current,Dammam,Loan Payment,8139.29,2025-06-29,3,27456.67,Approved,562,0.98,1140.42,douglasjamie@example.net,228.352.1203
Lisa Woods,369318315341,Business,Jeddah,Loan Payment,8403.66,2025-05-24,1,40028.93,Approved,386,0.42,73991.2,jjohnson@example.net,(292)842-4382x8593
Robert Davis,930985147356,Current,Makkah,Transfer,6750.56,2025-03-11,0,0.0,,526,0.41,87986.39,thomasrivas@example.org,268.761.7696
David Mcdonald,602886863942,Savings,Madinah,Loan Payment,3264.39,2025-04-03,2,43756.49,Rejected,476,0.11,5322.36,oliverlindsey@example.org,377-752-4730
Nathan Barker,133985223015,Current,Dammam,Loan Payment,2595.25,2025-05-09,2,15350.51,Rejected,693,0.4,40238.35,qgarrett@example.net,001-590-812-1607x4433
Gary Sheppard,309473854432,Business,Makkah,Bill Payment,7582.1,2025-08-10,2,43754.05,Rejected,475,0.03,70928.64,pattersonmichelle@example.org,360.834.0811x204
Melissa Sampson,983874176990,Fixed Deposit,Madinah,Bill Payment,4432.28,2025-03-21,3,1094.63,Approved,305,0.08,45114.23,reedcourtney@example.com,701-383-8191x732
Joel Dennis,429440212349,Business,Madinah,Deposit,4471.63,2025-07-30,1,28715.46,Pending,831,0.11,9784.73,kimnicholas@example.com,6554093899
Jeremy Edwards,750199134916,Current,Jeddah,Withdrawal,4450.03,2024-12-22,1,6897.73,Rejected,703,0.1,96863.82,nicholas13@example.net,+1-330-872-4251x722
Gary Sweeney,263899806013,Business,Dammam,Withdrawal,951.01,2025-05-10,1,15636.78,Pending,400,0.18,12939.49,jason21@example.com,(617)499-9835
Aaron Giles,607979870493,Savings,Jeddah,Bill Payment,768.32,2024-12-27,2,36686.55,Approved,703,0.23,82387.22,daniellediaz@example.org,001-337-961-1330x776
Jeremy Rivas,120796599535,Savings,Madinah,Withdrawal,6906.98,2025-01-26,1,1395.43,Rejected,633,0.18,14699.19,duffydonald@example.com,597-536-5431
Kristin Perez,402637322451,Business,Makkah,Bill Payment,3678.22,2025-02-06,3,26864.85,Approved,542,0.65,70976.65,chaas@example.net,(366)847-6994x3556
Glenn Hill,550324089434,Current,Madinah,Deposit,8205.42,2025-06-16,2,14942.45,Pending,385,0.72,580.37,isabel58@example.com,297-519-1039x20619
